severity_kw,duration_min,threshold_type,abs_thr_g,affects,seed,warning_detected,warning_latency_min,critical_detected,critical_latency_min,attribution,attribution_correct,n_fp_warnings,scenario,threshold_value,fp_rate_per_production_hour,threshold_pct,sigma_k
1.5,240.0,relative,,machine,47,True,21.0,True,27.0,machine,True,0,with_anomaly,20.0,,20.0,
1.5,240.0,relative,,machine,48,True,8.0,True,14.0,machine,True,0,with_anomaly,20.0,,20.0,
1.5,240.0,relative,,machine,49,True,14.0,True,20.0,machine,True,0,with_anomaly,20.0,,20.0,
0.0,0.0,relative,,,242,,,,,,,0,no_anomaly,20.0,0.0,20.0,
0.0,0.0,relative,,,243,,,,,,,0,no_anomaly,20.0,0.0,20.0,
0.0,0.0,relative,,,244,,,,,,,0,no_anomaly,20.0,0.0,20.0,
0.0,0.0,relative,,,245,,,,,,,0,no_anomaly,20.0,0.0,20.0,
0.0,0.0,relative,,,246,,,,,,,0,no_anomaly,20.0,0.0,20.0,
0.0,0.0,relative,,,247,,,,,,,0,no_anomaly,20.0,0.0,20.0,
0.0,0.0,relative,,,248,,,,,,,0,no_anomaly,20.0,0.0,20.0,
0.0,0.0,relative,,,249,,,,,,,0,no_anomaly,20.0,0.0,20.0,
1.5,240.0,relative,,machine,42,True,13.0,True,19.0,machine,True,0,with_anomaly,25.0,,25.0,
