severity_kw,duration_min,affects,profile,ramp_s,seed,warning_detected,warning_latency_min,critical_detected,critical_latency_min,attribution,attribution_correct,n_fp_warnings
2.0,240,spindle,ramp,1440,45,True,21.0,True,27.0,spindle,True,0
2.0,240,spindle,ramp,1440,46,True,25.0,True,31.0,spindle,True,0
2.0,240,spindle,ramp,1440,47,True,21.0,True,27.0,spindle,True,0
2.0,240,spindle,ramp,1440,48,False,,False,,,,0
2.0,240,spindle,ramp,1440,49,True,25.0,True,31.0,spindle,True,0
2.0,240,spindle,ramp,1440,50,True,18.0,True,24.0,spindle,True,0
2.0,240,spindle,ramp,1440,51,True,32.0,False,,spindle,True,0
3.0,240,spindle,ramp,1440,42,True,13.0,True,19.0,spindle,True,0
3.0,240,spindle,ramp,1440,43,True,20.0,True,43.0,spindle,True,0
3.0,240,spindle,ramp,1440,44,True,21.0,True,27.0,spindle,True,0
3.0,240,spindle,ramp,1440,45,True,21.0,True,27.0,spindle,True,0
3.0,240,spindle,ramp,1440,46,True,20.0,True,26.0,spindle,True,0
3.0,240,spindle,ramp,1440,47,True,21.0,True,27.0,spindle,True,0
3.0,240,spindle,ramp,1440,48,True,21.0,True,27.0,spindle,True,0
3.0,240,spindle,ramp,1440,49,True,20.0,True,26.0,spindle,True,0
3.0,240,spindle,ramp,1440,50,True,10.0,True,16.0,spindle,True,0
3.0,240,spindle,ramp,1440,51,True,21.0,True,27.0,spindle,True,0
4.0,240,spindle,ramp,1440,42,True,13.0,True,19.0,spindle,True,0
4.0,240,spindle,ramp,1440,43,True,17.0,True,43.0,spindle,True,0
4.0,240,spindle,ramp,1440,44,True,18.0,True,24.0,spindle,True,0
4.0,240,spindle,ramp,1440,45,True,21.0,True,27.0,spindle,True,0
4.0,240,spindle,ramp,1440,46,True,13.0,True,19.0,spindle,True,0
4.0,240,spindle,ramp,1440,47,True,21.0,True,27.0,spindle,True,0
4.0,240,spindle,ramp,1440,48,True,16.0,True,22.0,spindle,True,0
4.0,240,spindle,ramp,1440,49,True,18.0,True,24.0,spindle,True,0
4.0,240,spindle,ramp,1440,50,True,10.0,True,16.0,spindle,True,0
4.0,240,spindle,ramp,1440,51,True,18.0,True,24.0,spindle,True,0
1.0,240,spindle,ramp,1800,42,False,,False,,,,0
1.0,240,spindle,ramp,1800,43,False,,False,,,,0
1.0,240,spindle,ramp,1800,44,False,,False,,,,0
1.0,240,spindle,ramp,1800,45,False,,False,,,,0
1.0,240,spindle,ramp,1800,46,False,,False,,,,0
1.0,240,spindle,ramp,1800,47,False,,False,,,,0
1.0,240,spindle,ramp,1800,48,False,,False,,,,0
1.0,240,spindle,ramp,1800,49,False,,False,,,,0
1.0,240,spindle,ramp,1800,50,False,,False,,,,0
1.0,240,spindle,ramp,1800,51,False,,False,,,,0
1.5,240,spindle,ramp,1800,42,False,,False,,,,0
1.5,240,spindle,ramp,1800,43,False,,False,,,,0
1.5,240,spindle,ramp,1800,44,False,,False,,,,0
1.5,240,spindle,ramp,1800,45,False,,False,,,,0
1.5,240,spindle,ramp,1800,46,False,,False,,,,0
1.5,240,spindle,ramp,1800,47,True,22.0,True,37.0,spindle,True,0
1.5,240,spindle,ramp,1800,48,False,,False,,,,0
1.5,240,spindle,ramp,1800,49,False,,False,,,,0
1.5,240,spindle,ramp,1800,50,False,,False,,,,0
1.5,240,spindle,ramp,1800,51,False,,False,,,,0
2.0,240,spindle,ramp,1800,42,False,,False,,,,0
2.0,240,spindle,ramp,1800,43,True,37.0,True,43.0,spindle,True,0
2.0,240,spindle,ramp,1800,44,True,31.0,True,37.0,spindle,True,0
2.0,240,spindle,ramp,1800,45,True,21.0,False,,spindle,True,0
2.0,240,spindle,ramp,1800,46,True,27.0,False,,spindle,True,0
2.0,240,spindle,ramp,1800,47,True,21.0,True,27.0,spindle,True,0
2.0,240,spindle,ramp,1800,48,False,,False,,,,0
2.0,240,spindle,ramp,1800,49,True,29.0,True,35.0,spindle,True,0
2.0,240,spindle,ramp,1800,50,False,,False,,,,0
2.0,240,spindle,ramp,1800,51,False,,False,,,,0
3.0,240,spindle,ramp,1800,42,True,14.0,True,20.0,spindle,True,0
3.0,240,spindle,ramp,1800,43,True,22.0,True,43.0,spindle,True,0
3.0,240,spindle,ramp,1800,44,True,24.0,True,30.0,spindle,True,0
3.0,240,spindle,ramp,1800,45,True,21.0,True,27.0,spindle,True,0
3.0,240,spindle,ramp,1800,46,True,22.0,True,28.0,spindle,True,0
3.0,240,spindle,ramp,1800,47,True,21.0,True,27.0,spindle,True,0
3.0,240,spindle,ramp,1800,48,True,33.0,False,,spindle,True,0
3.0,240,spindle,ramp,1800,49,True,23.0,True,29.0,spindle,True,0
3.0,240,spindle,ramp,1800,50,True,10.0,True,16.0,spindle,True,0
3.0,240,spindle,ramp,1800,51,True,25.0,True,31.0,spindle,True,0
4.0,240,spindle,ramp,1800,42,True,13.0,True,19.0,spindle,True,0
4.0,240,spindle,ramp,1800,43,True,19.0,True,43.0,spindle,True,0
4.0,240,spindle,ramp,1800,44,True,20.0,True,26.0,spindle,True,0
4.0,240,spindle,ramp,1800,45,True,21.0,True,27.0,spindle,True,0
4.0,240,spindle,ramp,1800,46,True,18.0,True,24.0,spindle,True,0
4.0,240,spindle,ramp,1800,47,True,21.0,True,27.0,spindle,True,0
4.0,240,spindle,ramp,1800,48,True,19.0,True,25.0,spindle,True,0
4.0,240,spindle,ramp,1800,49,True,20.0,True,26.0,spindle,True,0
4.0,240,spindle,ramp,1800,50,True,10.0,True,16.0,spindle,True,0
4.0,240,spindle,ramp,1800,51,True,21.0,True,27.0,spindle,True,0
1.0,240,spindle,ramp,2160,42,False,,False,,,,0
1.0,240,spindle,ramp,2160,43,False,,False,,,,0
1.0,240,spindle,ramp,2160,44,False,,False,,,,0
1.0,240,spindle,ramp,2160,45,False,,False,,,,0
1.0,240,spindle,ramp,2160,46,False,,False,,,,0
1.0,240,spindle,ramp,2160,47,False,,False,,,,0
1.0,240,spindle,ramp,2160,48,False,,False,,,,0
1.0,240,spindle,ramp,2160,49,False,,False,,,,0
1.0,240,spindle,ramp,2160,50,False,,False,,,,0
1.0,240,spindle,ramp,2160,51,False,,False,,,,0
1.5,240,spindle,ramp,2160,42,False,,False,,,,0
1.5,240,spindle,ramp,2160,43,False,,False,,,,0
1.5,240,spindle,ramp,2160,44,False,,False,,,,0
1.5,240,spindle,ramp,2160,45,False,,False,,,,0
1.5,240,spindle,ramp,2160,46,False,,False,,,,0
1.5,240,spindle,ramp,2160,47,True,36.0,False,,spindle,True,0
1.5,240,spindle,ramp,2160,48,False,,False,,,,0
1.5,240,spindle,ramp,2160,49,False,,False,,,,0
1.5,240,spindle,ramp,2160,50,False,,False,,,,0
1.5,240,spindle,ramp,2160,51,False,,False,,,,0
2.0,240,spindle,ramp,2160,42,False,,False,,,,0
2.0,240,spindle,ramp,2160,43,True,37.0,True,43.0,spindle,True,0
2.0,240,spindle,ramp,2160,44,True,37.0,True,43.0,spindle,True,0
2.0,240,spindle,ramp,2160,45,False,,False,,,,0
2.0,240,spindle,ramp,2160,46,False,,False,,,,0
2.0,240,spindle,ramp,2160,47,True,21.0,True,27.0,spindle,True,0
2.0,240,spindle,ramp,2160,48,False,,False,,,,0
2.0,240,spindle,ramp,2160,49,True,33.0,False,,spindle,True,0
2.0,240,spindle,ramp,2160,50,False,,False,,,,0
2.0,240,spindle,ramp,2160,51,False,,False,,,,0
3.0,240,spindle,ramp,2160,42,True,20.0,False,,spindle,True,0
3.0,240,spindle,ramp,2160,43,True,37.0,True,43.0,spindle,True,0
3.0,240,spindle,ramp,2160,44,True,26.0,True,32.0,spindle,True,0
3.0,240,spindle,ramp,2160,45,True,21.0,True,27.0,spindle,True,0
3.0,240,spindle,ramp,2160,46,True,25.0,True,31.0,spindle,True,0
3.0,240,spindle,ramp,2160,47,True,21.0,True,27.0,spindle,True,0
3.0,240,spindle,ramp,2160,48,False,,False,,,,0
3.0,240,spindle,ramp,2160,49,True,25.0,True,31.0,spindle,True,0
3.0,240,spindle,ramp,2160,50,True,18.0,True,24.0,spindle,True,0
3.0,240,spindle,ramp,2160,51,True,31.0,True,37.0,spindle,True,0
4.0,240,spindle,ramp,2160,42,True,13.0,True,19.0,spindle,True,0
4.0,240,spindle,ramp,2160,43,True,21.0,True,43.0,spindle,True,0
4.0,240,spindle,ramp,2160,44,True,23.0,True,29.0,spindle,True,0
4.0,240,spindle,ramp,2160,45,True,21.0,True,27.0,spindle,True,0
4.0,240,spindle,ramp,2160,46,True,21.0,True,27.0,spindle,True,0
4.0,240,spindle,ramp,2160,47,True,21.0,True,27.0,spindle,True,0
4.0,240,spindle,ramp,2160,48,True,23.0,True,29.0,spindle,True,0
4.0,240,spindle,ramp,2160,49,True,22.0,True,28.0,spindle,True,0
4.0,240,spindle,ramp,2160,50,True,10.0,True,16.0,spindle,True,0
4.0,240,spindle,ramp,2160,51,True,23.0,True,29.0,spindle,True,0
1.0,240,spindle,ramp,2520,42,False,,False,,,,0
1.0,240,spindle,ramp,2520,43,False,,False,,,,0
1.0,240,spindle,ramp,2520,44,False,,False,,,,0
1.0,240,spindle,ramp,2520,45,False,,False,,,,0
1.0,240,spindle,ramp,2520,46,False,,False,,,,0
1.0,240,spindle,ramp,2520,47,False,,False,,,,0
1.0,240,spindle,ramp,2520,48,False,,False,,,,0
1.0,240,spindle,ramp,2520,49,False,,False,,,,0
1.0,240,spindle,ramp,2520,50,False,,False,,,,0
1.0,240,spindle,ramp,2520,51,False,,False,,,,0
1.5,240,spindle,ramp,2520,42,False,,False,,,,0
1.5,240,spindle,ramp,2520,43,False,,False,,,,0
1.5,240,spindle,ramp,2520,44,False,,False,,,,0
1.5,240,spindle,ramp,2520,45,False,,False,,,,0
1.5,240,spindle,ramp,2520,46,False,,False,,,,0
1.5,240,spindle,ramp,2520,47,False,,False,,,,0
1.5,240,spindle,ramp,2520,48,False,,False,,,,0
1.5,240,spindle,ramp,2520,49,False,,False,,,,0
1.5,240,spindle,ramp,2520,50,False,,False,,,,0
1.5,240,spindle,ramp,2520,51,False,,False,,,,0
2.0,240,spindle,ramp,2520,42,False,,False,,,,0
2.0,240,spindle,ramp,2520,43,True,39.0,True,45.0,spindle,True,0
2.0,240,spindle,ramp,2520,44,False,,False,,,,0
2.0,240,spindle,ramp,2520,45,False,,False,,,,0
2.0,240,spindle,ramp,2520,46,False,,False,,,,0
2.0,240,spindle,ramp,2520,47,True,32.0,True,38.0,spindle,True,0
2.0,240,spindle,ramp,2520,48,False,,False,,,,0
2.0,240,spindle,ramp,2520,49,False,,False,,,,0
2.0,240,spindle,ramp,2520,50,False,,False,,,,0
2.0,240,spindle,ramp,2520,51,False,,False,,,,0
3.0,240,spindle,ramp,2520,42,False,,False,,,,0
3.0,240,spindle,ramp,2520,43,True,37.0,True,43.0,spindle,True,0
3.0,240,spindle,ramp,2520,44,True,28.0,True,34.0,spindle,True,0
3.0,240,spindle,ramp,2520,45,True,21.0,True,27.0,spindle,True,0
3.0,240,spindle,ramp,2520,46,True,27.0,True,33.0,spindle,True,0
3.0,240,spindle,ramp,2520,47,True,21.0,True,27.0,spindle,True,0
3.0,240,spindle,ramp,2520,48,False,,False,,,,0
3.0,240,spindle,ramp,2520,49,True,28.0,True,34.0,spindle,True,0
3.0,240,spindle,ramp,2520,50,True,54.0,True,60.0,spindle,True,0
